,id,acousticness,danceability,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,valence,cluster,song.0,song.1,song.2,song.3,song.4,song.5,song.6,song.7,song.8,song.9,X,Y
0,15O20RQyWJgKrkHID9ynT9,0.441,0.443,0.558,0,0.163,0.284801174,1,0.0624,0.561877831,0.248,2,0E47pBZ2vm2NkEDKONAIuo,6LizkSIS8bhKLs4Q6Kre5W,3nFpW8MQFp8iLVM2r4qEjA,0fJtP2HkuZtzfh30XIMtPw,09yDZSrQWbpaZvkBlzDbpK,2k8p8JCPBz8xki4SwuWGS1,2NkbRmygVirMQFCjSkyY7Q,6bt1R3HFqITysmy3W88M3c,2x7mjuJxIRphPtfTSWNDgp,1bb9eogTs9f8FrxlQ8Rvr2,-0.405336672,0.14880577
1,479acVfQ74icOy772hE1ba,0.0756,0.532,0.473,7.83E-06,0.111,0.31089223,1,0.0438,0.481711246,0.167,2,6FueN9jVmrkmxApDrdfDFY,31cahXEtbRJM5lzVjvgW21,59krMPfRgjLYmAkVA2gHl4,6YIkU44i9mfapJ4Zfs1ggz,0Qh38w01QRXK6KHIv0e3hb,5weKCP07IGA1565wfI3cZ1,7krbSH3rd8lhIZvuzTV3Bl,4onD2lx2ohTTT48FRDCH7h,4h6WC7k2vRI4lrjqDh5g9D,3cuRIW5XcYEcWyWpBjIXHP,-0.382395548,-0.089367451
2,5tOjRq5shlEdm15nmJBq7Z,0.366,0.599,0.666,0.00158,0.169,0.390894326,1,0.0324,0.751199854,0.482,2,0vy1K9FhCK8woHW7MKEcBG,10M2Ex445zw585Ducldzkw,6aLmvz0CPeCNHCXK2H5QIC,2yQZwi1P8AkkxxFhQ8rMEK,1hKFNaxdPqR5moi4qzUK76,5zLs51Fr3XSUhZiWQMlxJu,7dt6x5M1jzdTEt8oCbisTK,2IA8cFA46DkjgbsRG7kKbp,2YyvWje3cEYyqgYhNUIaBJ,6r6n5OmXkdsOxN2iCj5UE0,-0.392034707,0.045276975
3,1LhMopPAallLeaeNutqbgS,0.103,0.707,0.632,1.09E-05,0.0841,0.368365903,1,0.0789,0.46666859,0.372,2,10GJQkjRJcZhGTLagFOC62,0VWRbuEicramx9Hp2iWCTC,2mfUa8bLs2s5N4VaqJZ4lZ,2JRLoT6z48Pfihyj1s1u77,71HJ6PCDao3hcgOEUX8M22,2B3jnZ6tCsVFD4gNXHBJzP,0fjKE697Z8WQ33XSJKbfQn,5AdnkoZJuRJCYqYBIzSqFb,58Xf9pv08HhsBdLshzIYAQ,3XlE1iWXYyK4e0jtGef286,-0.371457624,-0.13779934
4,5esPpmrM2AsyDVgOKzWQwU,0.229,0.58,0.687,0,0.109,0.282915073,1,0.106,0.365553856,0.187,2,5esPpmrM2AsyDVgOKzWQwU,6Hgh47WXVKtXN5zGOu0hjI,33UI8dgfkDOf32DWBH1GL0,08nYf4Aihtg013sLE8sloU,4E5P1XyAFtrjpiIxkydly4,5vuMtXS5kQ7F0o9V9rG1dG,5Z6JNzQNHrBFdi31XAbAR4,4VUwkH455At9kENOfzTqmF,0BNNxZfJOS59Bip2dQGk2f,09yDZSrQWbpaZvkBlzDbpK,-0.380059451,-0.078596214
5,6uaIMhUZXMuT2Zz0vxrFiR,0.722,0.571,0.558,0.000331,0.116,0.448106041,1,0.0281,0.504905214,0.283,2,2Kik93LzYWedRq41pH6eDN,0fvke3Xize2XpVUDoZbtyW,0VBBWt0uJxXNVb624WtOnC,2rxQMGVafnNaRaXlRMWPde,0MsuUFDdKP6d3aq5jBUdTK,42bbDWZ8WmXTH7PkYAlGLu,0CZ8lquoTX2Dkg7Ak2inwA,1It1TxBK3xIQAB4xJkPevn,5dTJMpqiELczVuHJP3OAEu,0pdKRp2sUthTPe7RLWpPqQ,-0.423274213,0.422064568
6,2YU9u46O1vUhRvOFoWsThH,0.866,0.89,0.248,0.00149,0.121,0.494891811,0,0.0517,0.611324312,0.245,1,28EyY6ygTlCucvF9RoMIQ1,28LrrolOGEPtpPqMRhfaZ0,7dNwJbsT0sg1le5kVugGJb,1BczdgS6s8ofRNMZPtbMF1,4YpVlqsbsnmRFP7bamdWbR,0gakOwhuH8Xf7JuCgsXhDI,7fS708BKUj1zNyejmuZxDb,1GlSowQ33EgXZz1Y22LleO,6jApoxmm4K0yhJlSBONwjz,0orqUsqNaLLGF4aXoU6F3d,0.560829315,0.768843345
7,7t3Ldw0z7zS0WyzlV7aJGV,0.0618,0.618,0.801,0,0.104,0.301776078,1,0.212,0.403651018,0.706,2,1SflceB6gEUczFvowdYkaQ,2nHuAhUwIG29RYVD1zcUX2,1F2HXIJrE2Xn81OzT2zZvW,3B54sVLJ402zGa6Xm4YGNe,6jnEusmGUs0D6YvF8MhOXX,6FE2iI43OZnszFLuLtvvmg,5HwnezK198pJCEj1l2Adjy,3CA9pLiwRIGtUBiMjbZmRw,3jDdpx9PMlfMBS5tOBHFm9,6yEi7mIkyoKYlhk7X43wNj,-0.361406078,-0.270281567
8,16QN8cBubEq706vNtPpOME,0.0053,0.808,0.581,1.19E-05,0.0828,0.284486823,1,0.07,0.625232036,0.758,2,0PG9fbaaHFHfre2gUVo7AN,4ZKGarvWsSOruOaw40cFNz,6r05pfZigq7Arg25pi2vRm,0KK1FJFCBjdgPE00CJuvEG,7J4WtoGCdREmGQrSzPYuFe,4cxacKRkXUaXwxwhD42Iqg,4wFHz9UQtuXUgbhy7cn8qk,4E0teOQQQwagLVvQ7VfYm1,5Il6Oe7lr5XM7A0cWbVQtr,3O4DdB07AoPwvy1fsIToiT,-0.361958928,-0.229969303
9,5qWfbqQUmQGS0fy15emahR,0.401,0.665,0.713,8.99E-06,0.103,0.382040132,1,0.0496,0.503024882,0.614,2,7LROGCpqfOu6oBgXrjGlHO,5kXDF4OmM5COyeo6z97nEk,1W0zPxHrUF4H2xmWkO97Ea,14cikDRwGYOB1UfdA44V4P,5tAa8Uaqr4VvA3693mbIhU,5H4YGepZNnPhnOHA9vZSEP,3AzvNvE3xpgelqmE5MRnbI,4Sbc03ueoX8IHdI1H2iht0,1kgw52pWfmHsXP0eAmduLg,6qX4gWRXTRPIrEfNuNaYye,-0.389972754,0.063059535
10,7HzCxalzzYQOFb9a7Xs3j6,0.0331,0.678,0.783,1.51E-05,0.134,0.24477393,0,0.0828,0.490521395,0.679,1,5hIuSLPtjhOFW0bzzRPbuY,073wmqmf5KfrQiNukyuqrq,1tn7pFwjU4ue3omJGc6L7J,4ejTiGZJNOkc3RM6RUITJi,3HltnjWv3KRaea6YsVgFgs,7JzWz4mgrthdmX52b0Z7mz,4cKGldbhGJniI8BrB3K6tb,60fFwimwllbxqq5kgME3zy,2ffTu34aAhPSo5IgrFR8oD,0rJzsc89WVFLnFEeksmOZO,0.637343541,-0.224790239
11,2N2IkAiiJqDXXFm58mix4A,0.00651,0.615,0.719,3.99E-05,0.111,0.268454969,0,0.0985,0.82265247,0.344,1,7EtzDNjVmifX4q4k9hQKTV,0CALOqrkXAE7WB2nyIATLk,7CotyU8EcChJlqOFnxPPmI,7eBtmw3nmUU1feJ9R4GPej,7B05516SDZK9hsqde0yauO,0AS63m1wHv9n4VVRizK6Hc,4wCD0qOFNRu1Q6O3N6ycm4,23eSs9NM5hSXN2SjN62xT8,6NCkJFHLl3K9epKNenmlSc,4JWQC6gyYoPRnxRxk0ta2M,0.63317989,-0.224194281
12,2BgEsaKNfHUdlh97KmvFyo,0.0372,0.697,0.683,0,0.137,0.150940431,0,0.117,0.462306797,0.603,1,2BgEsaKNfHUdlh97KmvFyo,1KGi9sZVMeszgZOWivFpxs,073wmqmf5KfrQiNukyuqrq,1BMfojwi8eKlVtGOEfJw17,3o8bovLXjsxsFBTXajm1VA,1UiEaMpzSMICYs0FWQga7S,7HzCxalzzYQOFb9a7Xs3j6,4ejTiGZJNOkc3RM6RUITJi,7uH27oIt4a6cIFCA8ZPcyG,1jY7v9jG7kuUOGT9vVR6vs,0.635669953,-0.198230005
13,3E5XrOtqMAs7p2wKhwgOjf,0.0335,0.818,0.732,4.95E-05,0.19,0.234400377,0,0.0334,0.572284579,0.679,1,7CMfLvTBxPE38oGk2FRmsu,2ekn2ttSfGqwhhate0LSR0,7Cw97917dvg5xm6XMAA4Y2,57nU6ivxzZemOQaQK0hqEs,2VWKS0DtLjB6rP4iCue0nS,407bMQYO7pKNipPaB5DanI,4ejTiGZJNOkc3RM6RUITJi,4t14AT1MhpuSOdojL4zZgZ,58F6iKkYdIccktJ8i8BuQQ,5zWWXFYSFMO66hUXHfVITK,0.640545763,-0.216281155
14,5HIfxhZRZp6BPpsz4wCKq9,0.046,0.395,0.823,9.38E-06,0.234,0.231571226,1,0.0404,0.607765627,0.632,2,72o5GKc9jmiCTex2MPPoAI,1mMLMZYXkMueg65jRRWG1l,7esrnDc7ncqQGHz8q6Wql2,2WuDGjp1Ydst3xHHLKO5NW,4QRZirU4s1f30iDHzuKncj,7cz70nyRXlCJOE85whEkgU,6SewJZC2f9ETwJR2zZWkOP,6CyJlVAEFlNdpggOLanytL,4kbj5MwxO1bq9wjT5g9HaA,3Msno56oT1A7H8DFQGylHK,-0.367592644,-0.32121054
15,6p3nhn7e7rltnxlSvBEfp3,0.73,0.658,0.348,0,0.155,0.322627967,1,0.0451,0.341903031,0.299,2,2VIPU72L6tIR4w8J8ap6Kp,5mdBAkjyr5AuFFbRXQ1M2X,4W6lFeuSPi2pnFTIOrMUiD,5QRb3yGIL1AY9xoh0FGzGl,4OdxrfcLBUL8AJmWdbN7QO,7rzCPEXWAhEaTcr3ajFNuC,0CZ8lquoTX2Dkg7Ak2inwA,7FC9taEfKHkJs3gQdxDvJ0,3ksmU0DaEUMEVzx5V6cc3z,2rxQMGVafnNaRaXlRMWPde,-0.426565938,0.501779201
16,77nXj2IoswHUcgwh0tw83O,0.452,0.603,0.554,0,0.0545,0.229527951,1,0.0646,0.538558829,0.354,2,2x7mjuJxIRphPtfTSWNDgp,39LmTF9RgyakzSYX8txrow,42bbDWZ8WmXTH7PkYAlGLu,7tsHqxfepei1AdLjy93XIv,2cJS4uSqiNCeH4CgOt9LNA,60Q0ZSKKBea7otGijFgrQI,0lnfjcwBcripJPtXuSu7d3,1AJBNdi266U3cJkgxpHOlF,0h9bwHojcS1hSBon4YKK81,3ji4bcQugJj5B6NRGYDNwP,-0.400272664,0.142757924
17,3H4SQPQVJ4birjwbMMuYlY,0.0583,0.379,0.732,1.58E-05,0.143,0.36139781,0,0.0659,0.576021198,0.398,1,4hCNAbUTmoj9Pzg2vFhoiC,4pCUMrVlDuWIk6X03VDvT2,7kqCbVG93MnBnkRGiKWTPs,2AaF78iCWISMWYog5RnSi5,4R1blcuvrin6EEgyDFljSg,3yelVZf4p9wDpWjPav5mOn,1cEo4OOyM1rOUn6kuTrm5m,2TYlNJNjw45KdmKr5Dh2mh,69HBkY6dhDFSrXAdiyLZZG,5BCnoG4uUCyz58OOy1kFeQ,0.619614414,-0.135507023
18,5tz69p7tJuGPeMGwNTxYuV,0.57,0.62,0.574,0,0.19,0.408026405,0,0.0479,0.481004319,0.352,1,4Sj8JZ9zZfl8HaOav5yTVq,6p128YQodqDtEPDaMLtP4A,0m0Ew7RcwZaBS8psxgE00P,5CZmC1I3ZbyH2ToPwTciAy,1rytrTNO2Eadka8ucjgneZ,23c9gmiiv7RCu7twft0Mym,0UvBmQOhu4DVXJtdzGc5eV,4CXUq9KMLqxrueLaSNUnDc,7jmFU6rB0UoSl1xsC1xEh3,3jutzXVaFn7VJjPv7hOT2C,0.587070881,0.359757975
19,6FZeriWMXd5ciTN7GvC0od,0.0114,0.756,0.942,0.000123,0.283,0.159847016,0,0.15,0.615998692,0.211,1,5qRUEyakcE4cKgxAFrokNm,6BJLqaraRUJmHa2I1c81P9,5RugEn59RTnWE4IM4uBaC9,2aI2k39nfa3KFsa4JclQzw,0tBbt8CrmxbjRP0pueQkyU,0A5gdlrpAuQqZ2iFgnqBFW,7EmGUiUaOSGDnUUQUDrOXC,3Iee2uf8UXOrOupQzfs1z5,18vGqlZqxpAwlepFrqIkOG,575NJxNUVDqwJGdzBrlLbv,0.65281994,-0.368484555
20,1zFqYEYQrz5mkTxFM1yxXy,0.129,0.555,0.592,0,0.103,0.357992351,1,0.333,0.443373633,0.663,2,5dhsuaGYQpEhXsOQsbLL7s,1m8WpLYXEiNVZchsWEcCSy,1SflceB6gEUczFvowdYkaQ,7t3Ldw0z7zS0WyzlV7aJGV,2nHuAhUwIG29RYVD1zcUX2,6OIJcRL2yycLyIbzrwOUty,1wJRveJZLSb1rjhnUHQiv6,7COXchtUOMd6uIT6HvmRaI,0SuLAslEMFZAXf0SwY7syi,0GXMlXSYrKXM009r5mdWCA,-0.376954042,-0.095469029
21,789qI3jXwivzud76JHGTzU,0.246,0.581,0.48,8.65E-06,0.195,0.356211034,1,0.0286,0.389651922,0.276,2,13TMuxC8tdSfthXpHG9D26,1c1SUqeJEYjA3dZVglThmW,5sIx4BlfYGuZeSLF40N9GH,6FueN9jVmrkmxApDrdfDFY,2VxeLyX666F8uXCJ0dZF8B,5lK18Pt33xNudq4qYDxIm8,4ilNy4QN9MKeNifDxT6za9,1qcouv0uGRX5ZEdXsUIJAY,4GUXTRTjQ4voLzwLw9qbPx,7tsHqxfepei1AdLjy93XIv,-0.391679793,0.056097261
22,1P17dC1amhFzptugyAO7Il,0.204,0.766,0.709,1.41E-05,0.126,0.339026563,0,0.123,0.615892893,0.506,1,2twuWVm42q3E4okRqfv8U1,1Gdq70zftwyR7AicLQ4lBY,2CI2yyRfxB0HhEnXso3yLB,6Dny9hE3SFjPgu97TaFUbA,1fyvQWmRbW81M0xXKI1Rrk,7dhyhMtWWJNYWmE4N5XiEA,2MDLioU5AzJf5uA48lxk2t,4mqvE5F95nKSUrUvUH3YB7,0znetZf9bcVN1xjAhQ00LH,5UEvfBx5yQ14HALjI8jk3t,0.624605217,-0.035560395
23,4N2utzbudidhsWZLpdHb2U,0.000431,0.568,0.94,4.96E-05,0.0779,0.282967465,1,0.0411,0.466937896,0.738,2,3CA9pLiwRIGtUBiMjbZmRw,6YQUuoMnRIMaOmouYoMfQr,1SLikaDhWhhhnLJC58bkFI,330Ei3gBMyxIEUppgp7hUY,0w3Q14i073jLoew1hgJkwD,3cGTJ36recw62AXf34v3kJ,5P5cGNzqh6A353N3ShDK6Y,05eGgfS1empJmZDTDY6U7t,6jnEusmGUs0D6YvF8MhOXX,78YZbWqUd4BtzNaXOsPgSQ,-0.355386417,-0.392923475
24,4c9PMOg5YtNzU7o8CYTOmb,0.171,0.636,0.969,0,0.345,0.100225284,0,0.0716,0.489727905,0.911,1,2Wu9PNpLUCBl3W1GaPqkhl,3SIPgKiFIuTsMIY5O8Fb6F,00WbIozZcC3dIykrfOTJLP,78Nyf6RlqBANlMhSnKyClT,2v5JTeM6hSmi5wWy7jiwrI,0WV4nwEWOsQy0vkyK9uGxq,13w8jIuWMV2mFuISU6dzB7,3haxUceS8i97BLoB7WH3Mj,4i2EBIWHEhEaaXlEszzU7J,0XPlH1uh1g7Z3oVW7gPrYk,0.639549048,-0.259788363
25,18LhA0zBzAa2YnhcN3hWGa,0.0116,0.703,0.557,9.85E-05,0.12,0.356158642,0,0.0438,0.769373191,0.127,1,0e7ipj03S05BNilyu5bRzt,0w5pghaDUcG3hRPJaOHlLc,3kKX2SSrYHYGbX9fIpipoM,5qfnQ0gOh7bL41HmMT2hJD,23eSs9NM5hSXN2SjN62xT8,14EgW52HVqnLHd30bgbPxg,3ebXMykcMXOcLeJ9xZ17XH,4kV4N9D1iKVxx1KLvtTpjS,0Dn40gxVCMo5TkgS8Ik18Q,7fBv7CLKzipRk6EC6TWHOB,0.62688633,-0.113091316
26,4WfB7FHwoluRjGu4IrJWXI,0.315,0.827,0.599,0,0.0823,0.302247603,0,0.179,0.504895596,0.588,1,4wYAEyr4D9HhulMmrjMk4O,2twuWVm42q3E4okRqfv8U1,3J5YrOvX2A0EA0j4BARQ9o,3Ol2xnObFdKV9pmRD2t9x8,1gaUODQzPR6eNcJtNe0cyZ,7sPMfN5b0ZssJ3E7IlNrgl,2MDLioU5AzJf5uA48lxk2t,6uBhi9gBXWjanegOb2Phh0,5fzWrgzS8RCXCjSMfS2YMA,0FzI4GycRxqDdyCugflNQO,0.615692608,0.103856662
27,4jwP0pxx7su04FYc6J12EQ,0.319,0.68,0.62,1.14E-06,0.158,0.268088228,1,0.0607,0.457233267,0.537,2,4Ce37cRWvM1vIGGynKcs22,6UYMm9Jx9a05o0FDUBzNgr,44ShclXTOOnYtt5CnCDeGV,5p6eKTYwFYitUS617IMtyd,0VhgEqMTNZwYL1ARDLLNCX,2rPE9A1vEgShuZxxzR2tZH,1HXy5I3HTWq8OvxCn0z7G7,5AnSllIrgGsCZzZJkVnApx,14cikDRwGYOB1UfdA44V4P,5ouNakSA4Ys0aJvoFBJtXn,-0.385051061,0.010120574
28,2Uu1hqObahlzFDbZqjC6CR,0.0211,0.524,0.627,9.84E-06,0.19,0.379630115,0,0.0885,0.941267276,0.53,1,5ESJINHtOXLh3KSsazEfRf,2505zPMgfJUypiy3df9quM,5Q0Nhxo0l2bP3pNjpGJwV1,3RQYtMBnCujzcDQRUAXAw6,7eBtmw3nmUU1feJ9R4GPej,5600nq7TiBraBX2jobyJ3l,11UxNWTOUi6h3UWuEpvPqM,6SQZ3rR7kNord3KYrom49J,4wCD0qOFNRu1Q6O3N6ycm4,6uSSupG4TMu3vW8QgynAB6,0.623287692,-0.140646514
29,1K3LRUEcUz5FMtPYyg0F45,0.765,0.682,0.471,0,0.0908,0.481060408,1,0.0301,0.384275423,0.421,2,25aILAMvglYwkk4QkbfAxV,3ksmU0DaEUMEVzx5V6cc3z,5ClDPw47BORurTM0yTwuS7,3HJGY8vPq6zI8mEDl6a6K4,2R9nJvZx7oL9eLDXjvRece,1z8F0DUrgxictKm2lzvuki,5vhh4PJYsftAGOdq54SWrg,1TPLsNVlofwX1txcE9gZZF,2rxQMGVafnNaRaXlRMWPde,5I0iOfX9YLacuhLspYnTaY,-0.426506311,0.513776599
30,72Q0FQQo32KJloivv5xge2,0.0533,0.599,0.667,0,0.134,0.223555299,1,0.0367,0.389454752,0.817,2,0TzWLXV3gnCqTSzOYrLs8h,5Gu0PDLN4YJeW75PpBSg9p,5AEtlRudpgdT5FtNiuly6Y,2jWJUWypN8NjTSeY89DKrN,09BqFZVg58GJMT7sWWLzx1,6YQUuoMnRIMaOmouYoMfQr,1aJJ3ciSmS8DXJL1DK0w1o,4ly1QBXEwYoDmje9rmEgC4,7vFv0yFGMJW3qVXbAd9BK9,0bPnT6i9H1p8Vd85GS6Z7I,-0.367976841,-0.229411644
31,21mP0OZ7jq4PTmlLEb2Rac,0.697,0.456,0.356,0,0.102,0.317598365,1,0.0353,0.412485212,0.154,2,5mdBAkjyr5AuFFbRXQ1M2X,3DKpA54hrFIdPN6AtL9HXa,5bum4HbCDFoB9wpsc0sQky,1ArLnG0bHaHPXqf08sEKM0,5kRPPEWFJIMox5qIkQkiz5,13sXuI5RjMHm7dz7O3spYs,0mfSivZmglC3Hfn0NzssOY,2b3JxLi8KAiOsD8ehnOxDZ,3y4uSQwxHckyRcvafEilkN,0fvke3Xize2XpVUDoZbtyW,-0.432420904,0.478306387
32,5NeHvs8ClxMHtqv8DHEK1X,0.13,0.448,0.761,0,0.0823,0.248388956,1,0.221,0.719849766,0.333,2,7GdGBGwFMg21mY9kNpNKXI,20z5VnuRJkpxcokwAu9VtP,1AwbLRNEpGmNGSpruKa6HQ,2sHwSBNDZN2yjCtgwStYt1,1qcyw35R6PiMBYfSSK7gDm,0L5bPAE1qGXmPv9oeK2gwB,0u3zalSKQIUJ0foEGILmxe,3RJXIte2IV8xArJYKD5qrf,74Ru27B7Jx8mBt5MGvGLLv,1zfFle2YCXuUFXlAAZ4QOS,-0.37360589,-0.222104597
33,6gxZLe2tUdy1U51aql0mfR,0.0642,0.31,0.794,2.35E-05,0.178,0.255147483,1,0.0831,0.909792154,0.284,2,7zJOqiflmLBn7unrPB1mcX,31AyUvMRDvZjyQI1N05lsT,1zfFle2YCXuUFXlAAZ4QOS,59OBV3kRCqepY5cNZiZfT6,4mGdjNMo0RonTlOEb7cYg4,0ME4uQYTQmovH1v9PbWqW2,6JYSeUR3wU6tBGpD5a2PTH,6GC9ktyFFHVaFA1qlE2zzi,5V0nHhlYIjUMfcSoJ5ziRD,6Pw3Gvw4wNMZfTYZa6IQal,-0.374057368,-0.29805165
34,7tFiyTwD0nx5a1eklYtX2J,0.254,0.397,0.396,0,0.268,0.519201551,1,0.05,0.687273374,0.227,2,6KprCGVC5o2Ibj2wCtaxEV,2TVxnKdb3tqe1nhQWwwZCO,2UBSTkbhkQwzjKpcuUJTdG,4EzMqZ1QO4HAWbcdDtnu3d,3dglCYsVMjPbDlU2CC9Vq7,3nFpW8MQFp8iLVM2r4qEjA,0fJtP2HkuZtzfh30XIMtPw,6rJZ1otRMXH8UHzYBWCfv1,2mxzc5jMl7oxIXz9Einq54,6K8VQ84MqhsoakN5MjrnVR,-0.405081239,0.138387988
35,6OHWgUuDDedHRVhcg8vlaf,0.0108,0.603,0.606,0.00157,0.108,0.265101902,0,0.0688,0.447528638,0.403,1,3DjuoMGWZ1vYyg6x4mHUO0,16geeCnXrbiomV1IZ8Kudc,0Nhu3zSYbEz32IYiobV75e,1YNQscOx6OqBQjxgJVhEeW,0171XsIM2xyeXRr6wsugEI,3EVBx6WnnMj0qGpcPHjECA,1quuqraz6z6RusyJZtyDcm,3Px934J0dBoCmpUhUuCQkD,2AaF78iCWISMWYog5RnSi5,4VQJnqvsZ7DEguTXtERRaI,0.627392409,-0.139067618
36,2nGlRyaeE9JF4L4TyAf3uJ,0.0612,0.576,0.795,0,0.14,0.255147483,1,0.0346,0.591852536,0.427,2,67H8U1DqJMTv9vCg7P95uR,73Jdi1pXMmpo5LcsSXiFLO,2Go8QT5Cw4sCBzq8ZjnZLl,43oX6qFdj2bHGeWzPps3rs,3lQSzRo5BkodChgpBOomvv,0maGllQEuiHk3UbOBLC05d,1hIupFeRu3nmMcjbjxPnMc,0PDUDa38GO8lMxLCRc4lL1,7d06uajfr1DZUeKVCaE9BS,0JNdS1n0ifOP25XvhwAMgM,-0.364473435,-0.290829674
37,1zOHJT86hUWSoGWygL7qi9,0.0608,0.686,0.801,0,0.0834,0.226541625,0,0.189,0.692265151,0.757,1,2Zj4FUsMtu9PMuJsHbGbdv,1pbyc2rbpwxZjCbKC2X7UV,61duk78NU13GtX2ACpeF8L,1tn7pFwjU4ue3omJGc6L7J,0Nk7bSn0MItonkR0GNs3mj,0jIUiSTrJuDxjkf7ddAEYy,6JhJ3Qiw7sWE74MmSTbwkK,6pfvfeG3cm82Pu6GdXybF7,1eyCaj5QySgIm5kLPbZNVO,5uwJok4rYoVFpxBmzKp4Tk,0.637621971,-0.229400996
38,7fa9MBXhVfQ8P8Df9OEbD8,0.568,0.851,0.541,0,0.13,0.357573217,1,0.0505,0.600931991,0.448,2,6V1bu6o1Yo5ZXnsCJU8Ovk,6FRLCMO5TUHTexlWo8ym1W,7fa9MBXhVfQ8P8Df9OEbD8,60CKMDImvHjEpPsQ8qKle5,0lnfjcwBcripJPtXuSu7d3,6tIsrRynd3eQB0a2c3SPyM,0j2WBxWZnWti5TpSxjJvPb,60Q0ZSKKBea7otGijFgrQI,7j1Q7Xx6Ozn5mUJfrqaSjp,38o5lj4mbLK34vQkJUlMrg,-0.400895628,0.259518371
39,2QOSMLaEJkkeezSMZ75yB8,0.0476,0.752,0.764,9.44E-05,0.0543,0.230471001,1,0.038,0.586500082,0.582,2,7lVoniii4QwhNjCeHij2xZ,4eP9Et7gkdPf6eeCRNal75,7y9iMe8SOB6z3NoHE2OfXl,2TBQoW7s6iwKcg139ssqie,3pDnxKoW2q8gvqrPaWCKh0,3Jc6Bdhc4QDQwal1urpuNk,6BFSpfwe003HLps1y1DA7k,4j727klHlzdOtN99cXKEtv,43tgC5pTYJpc5D3C9HRwEg,6XcfKZvJio9Z0fQy11GnNX,-0.358637897,-0.297160529
40,0V3tUFtSMNfS4iL6HnZsas,0.00961,0.789,0.867,5.15E-05,0.474,0.319798816,1,0.0551,0.605303402,0.864,2,2YyVBV0klw0T6EvSVkCpuW,0onslUNmSLDkuYaideYWir,10wWGbY2KerpoM5m5cYu48,7uzmGiiJyRfuViKKK3lVmR,15GwXVerL8HSCf6zEf7aCG,7gDKfEMIhyyO4asgEXwcrs,4UuHWIkAWnN176A2rx7YFB,1dSreFBAq3Tz7eLvea5ikf,3Fzlg5r1IjhLk2qRw667od,5EdkHBTXHVXrLz1AkIMweE,-0.346875228,-0.379307227
41,1mcb6XOtbQLn3CpwEUcMPk,0.148,0.549,0.407,0,0.101,0.44433384,1,0.0269,0.720167162,0.383,2,1ahtahsp8Znd2SWA27fx7l,68JS5SFTnW5Yv9Vzw81Jf0,4ONGO8V1owsu27dK3mvSfK,4taXUiTTClK0b1TPP17mBM,6rJZ1otRMXH8UHzYBWCfv1,43PuMrRfbyyuz4QpZ3oAwN,2GATPLRMzHNwUmkxGgCoEP,4rxjhwPXkUyRAkMvQbVpZK,51cCG7fjfxhi5jbu8ctVzl,3cQmqM0awej9iAESjhKrI9,-0.392489011,0.025571445
42,4pgOyxhTFOuNZJndYQJkKk,0.108,0.685,0.646,0.236,0.17,0.351914916,1,0.0711,0.538448221,0.539,2,4TJweEhnTMkfOdavXx5RRG,7JKf9DEKBAdyILvDh4jzHy,0Of5so0SmxQprfv96NkXhb,6lkEb1Pfut2u5hEBTgmicd,67Yhm2ETGWtux2D6pJnJcX,23HxMVdUqSsWwar52dS4ZT,3U1TuSqHIubBA10cVP7Sk6,2B3jnZ6tCsVFD4gNXHBJzP,3QmOiZF7IzJJkHnahh5Ea0,5cj54CVe4pQZ9cUKgbsZrG,-0.369760051,-0.155521473
43,297rZsBEjFw9d0Gl3iBLnd,0.82,0.701,0.529,0.00113,0.249,0.641378949,0,0.147,0.664685345,0.577,1,1sCqAU8UKMoRmcT7RdhtuP,4qMu6LIImRJVbxB70bdFJj,0an8pwAsISvMA9ZIbAmeW7,5PNV4Yyi4MTQ3VQh1dlSD7,3XRDrBtoCJAMDQJgSzJ9WT,77o0diCQA70xYZnOey5OeD,0Q73CD4Yp5aPS7m4AgnXMT,4aqafewb0B9MlQVHUWIOuK,4zDQS1OCghoOKkjw6hf2qT,7gJsXDS4U2sEotDT9nhZhT,0.568946582,0.630543325
44,2LKJ7awyUwueCpLQl6Khsc,0.0101,0.96,0.563,0.000689,0.392,0.366270236,0,0.255,0.5531302,0.626,1,3j74Rz7pfvxd621GXbYMJY,6flur5o18COKeafnjLHRiJ,2FlUBiGa1DhDZbroUa0Vb3,2771LMNxwf62FTAdpJMQfM,1BxkZE73h9BN3qwuA15TA3,3mh5MSqKe42nEYUqiMI2KA,2nP53cGOPLojPkoWVZo4sY,1qBxAo3bNoY5extpkA5vBI,1m4dXbkplvaOO4Wbdjbwxs,58q2HKrzhC3ozto2nDdN4z,0.642951084,-0.130849602
45,5iXx0Mq1OrQM2iGuxDxQ0i,0.213,0.704,0.629,1.97E-05,0.0869,0.233509719,1,0.0427,0.562810784,0.692,2,1oRRLczVT5KkZkPHXG70n7,4Q4G6wehDTKF8iHFC7L5pT,45iMRHmfLZu3yjdZ8P5e3t,3O4DdB07AoPwvy1fsIToiT,2soCr3tI1sJ6lFrxBPQVzQ,3JJYIoJ5FyY9E0DGjr7SXF,0H188Mi13wkwwwUvczPdmC,2nLlsu0gbJxFEEuhXCuMuL,7DUTYJGWHalTp97kFDmU64,0cge96qsW6ifXppeiiRIGd,-0.37710034,-0.093428715
